freq,phase(Zin2)
3725000000.0000000000,-86.0538463300
3729999999.9999995232,-86.0066972334
3735000000.0000004768,-85.9586479154
3740000000.0000000000,-85.9094395318
3745000000.0000000000,-85.8591530330
3750000000.0000000000,-85.8078698182
3755000000.0000000000,-85.7555548649
3760000000.0000000000,-85.7021714931
3764999999.9999995232,-85.6473216566
3770000000.0000004768,-85.5911494145
3775000000.0000000000,-85.5337842552
3780000000.0000000000,-85.4751819977
3785000000.0000000000,-85.4152962561
3790000000.0000000000,-85.3536763476
3795000000.0000004768,-85.2904867213
3800000000.0000000000,-85.2258558374
3804999999.9999995232,-85.1597272338
3810000000.0000000000,-85.0920414670
3815000000.0000000000,-85.0223288095
3820000000.0000004768,-84.9507528732
3825000000.0000000000,-84.8774194964
3829999999.9999995232,-84.8022556088
3835000000.0000000000,-84.7251840426
3840000000.0000000000,-84.6457986581
3845000000.0000000000,-84.5642075487
3850000000.0000000000,-84.4804530690
3854999999.9999995232,-84.3944393303
3860000000.0000004768,-84.3060647094
3865000000.0000000000,-84.2147115942
3870000000.0000000000,-84.1205760663
3875000000.0000000000,-84.0237338980
3880000000.0000000000,-83.9240565657
3885000000.0000000000,-83.8214073081
3889999999.9999995232,-83.7153143152
3895000000.0000004768,-83.6058386286
3900000000.0000000000,-83.4929365570
3905000000.0000000000,-83.3764329480
3910000000.0000000000,-83.2561405576
3915000000.0000000000,-83.1314626982
